sample	strainID	genus	species	count
15_BS6	HAMBI-2494	Paraburkholderia	kururiensis	18
15_BS6	HAMBI-2659	Stenotrophomonas	maltophilia	324
15_BS6	HAMBI-2792	Moraxella	canis	0
15_BS6	HAMBI-3031	Niabella	yanshanensis	41
15_BS6	HAMBI-3237	Microvirga	lotononidis	3
21_B1	HAMBI-0006	Pseudomonas	putida	2369
21_B1	HAMBI-0097	Acinetobacter	lwoffii	0
21_B1	HAMBI-0105	Agrobacterium	tumefaciens	531
21_B1	HAMBI-0262	Brevundimonas	bullata	0
21_B1	HAMBI-0403	Comamonas	testosteroni	181
21_B1	HAMBI-1279	Hafnia	alvei	55
21_B1	HAMBI-1287	Citrobacter	koseri	1433
21_B1	HAMBI-1292	Morganella	morganii	120
21_B1	HAMBI-1299	Kluyvera	intermedia	33
21_B1	HAMBI-1842	Sphingobium	yanoikuyae	193
21_B1	HAMBI-1896	Sphingobacterium	spiritivorum	1498
21_B1	HAMBI-1972	Aeromonas	caviae	7347
21_B1	HAMBI-1977	Pseudomonas	chlororaphis	378
21_B1	HAMBI-1988	Chitinophaga	sancti	0
21_B1	HAMBI-2159	Paraburkholderia	caryophylli	1
21_B1	HAMBI-2160	Bordetella	avium	35
21_B1	HAMBI-2164	Cupriavidus	necator	8
21_B1	HAMBI-2443	Paracoccus	denitrificans	25
21_B1	HAMBI-2494	Paraburkholderia	kururiensis	4
21_B1	HAMBI-2659	Stenotrophomonas	maltophilia	164
21_B1	HAMBI-2792	Moraxella	canis	0
21_B1	HAMBI-3031	Niabella	yanshanensis	48
21_B1	HAMBI-3237	Microvirga	lotononidis	20
21_B2	HAMBI-0006	Pseudomonas	putida	2664
21_B2	HAMBI-0097	Acinetobacter	lwoffii	0
21_B2	HAMBI-0105	Agrobacterium	tumefaciens	565
21_B2	HAMBI-0262	Brevundimonas	bullata	0
21_B2	HAMBI-0403	Comamonas	testosteroni	248
21_B2	HAMBI-1279	Hafnia	alvei	52
21_B2	HAMBI-1287	Citrobacter	koseri	1517
21_B2	HAMBI-1292	Morganella	morganii	104
21_B2	HAMBI-1299	Kluyvera	intermedia	26
21_B2	HAMBI-1842	Sphingobium	yanoikuyae	238
21_B2	HAMBI-1896	Sphingobacterium	spiritivorum	1489
21_B2	HAMBI-1972	Aeromonas	caviae	9352
21_B2	HAMBI-1977	Pseudomonas	chlororaphis	309
21_B2	HAMBI-1988	Chitinophaga	sancti	0
21_B2	HAMBI-2159	Paraburkholderia	caryophylli	2
21_B2	HAMBI-2160	Bordetella	avium	44
21_B2	HAMBI-2164	Cupriavidus	necator	11
21_B2	HAMBI-2443	Paracoccus	denitrificans	23
21_B2	HAMBI-2494	Paraburkholderia	kururiensis	12
21_B2	HAMBI-2659	Stenotrophomonas	maltophilia	170
21_B2	HAMBI-2792	Moraxella	canis	0
21_B2	HAMBI-3031	Niabella	yanshanensis	44
21_B2	HAMBI-3237	Microvirga	lotononidis	24
21_B3	HAMBI-0006	Pseudomonas	putida	1944
21_B3	HAMBI-0097	Acinetobacter	lwoffii	0
21_B3	HAMBI-0105	Agrobacterium	tumefaciens	360
21_B3	HAMBI-0262	Brevundimonas	bullata	0
21_B3	HAMBI-0403	Comamonas	testosteroni	258
21_B3	HAMBI-1279	Hafnia	alvei	47
21_B3	HAMBI-1287	Citrobacter	koseri	1548
21_B3	HAMBI-1292	Morganella	morganii	84
21_B3	HAMBI-1299	Kluyvera	intermedia	23
21_B3	HAMBI-1842	Sphingobium	yanoikuyae	57
21_B3	HAMBI-1896	Sphingobacterium	spiritivorum	1345
21_B3	HAMBI-1972	Aeromonas	caviae	6787
21_B3	HAMBI-1977	Pseudomonas	chlororaphis	143
21_B3	HAMBI-1988	Chitinophaga	sancti	0
21_B3	HAMBI-2159	Paraburkholderia	caryophylli	1
21_B3	HAMBI-2160	Bordetella	avium	26
21_B3	HAMBI-2164	Cupriavidus	necator	6
21_B3	HAMBI-2443	Paracoccus	denitrificans	13
21_B3	HAMBI-2494	Paraburkholderia	kururiensis	8
21_B3	HAMBI-2659	Stenotrophomonas	maltophilia	135
21_B3	HAMBI-2792	Moraxella	canis	0
21_B3	HAMBI-3031	Niabella	yanshanensis	34
21_B3	HAMBI-3237	Microvirga	lotononidis	8
21_B4	HAMBI-0006	Pseudomonas	putida	2156
21_B4	HAMBI-0097	Acinetobacter	lwoffii	0
21_B4	HAMBI-0105	Agrobacterium	tumefaciens	314
21_B4	HAMBI-0262	Brevundimonas	bullata	0
21_B4	HAMBI-0403	Comamonas	testosteroni	149
21_B4	HAMBI-1279	Hafnia	alvei	36
21_B4	HAMBI-1287	Citrobacter	koseri	1677
21_B4	HAMBI-1292	Morganella	morganii	63
21_B4	HAMBI-1299	Kluyvera	intermedia	27
21_B4	HAMBI-1842	Sphingobium	yanoikuyae	81
21_B4	HAMBI-1896	Sphingobacterium	spiritivorum	1202
21_B4	HAMBI-1972	Aeromonas	caviae	5823
21_B4	HAMBI-1977	Pseudomonas	chlororaphis	156
21_B4	HAMBI-1988	Chitinophaga	sancti	0
21_B4	HAMBI-2159	Paraburkholderia	caryophylli	2
21_B4	HAMBI-2160	Bordetella	avium	32
21_B4	HAMBI-2164	Cupriavidus	necator	7
21_B4	HAMBI-2443	Paracoccus	denitrificans	25
21_B4	HAMBI-2494	Paraburkholderia	kururiensis	11
21_B4	HAMBI-2659	Stenotrophomonas	maltophilia	158
21_B4	HAMBI-2792	Moraxella	canis	0
21_B4	HAMBI-3031	Niabella	yanshanensis	20
21_B4	HAMBI-3237	Microvirga	lotononidis	1
21_B5	HAMBI-0006	Pseudomonas	putida	1718
21_B5	HAMBI-0097	Acinetobacter	lwoffii	0
21_B5	HAMBI-0105	Agrobacterium	tumefaciens	367
21_B5	HAMBI-0262	Brevundimonas	bullata	0
21_B5	HAMBI-0403	Comamonas	testosteroni	225
21_B5	HAMBI-1279	Hafnia	alvei	68
21_B5	HAMBI-1287	Citrobacter	koseri	2025
21_B5	HAMBI-1292	Morganella	morganii	81
