sample	strainID	genus	species	count	count_correct	f_correct
15_BS1	HAMBI-2659	Stenotrophomonas	maltophilia	373	292	0.010895122535944034
15_BS1	HAMBI-2792	Moraxella	canis	0	0	0
15_BS1	HAMBI-3031	Niabella	yanshanensis	94	204	0.007617448398918885
15_BS1	HAMBI-3237	Microvirga	lotononidis	11	17	6.159130363718092e-4
15_BS2	HAMBI-0006	Pseudomonas	putida	1837	116	0.005063345434866781
15_BS2	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS2	HAMBI-0105	Agrobacterium	tumefaciens	1172	2632	0.11460617280191125
15_BS2	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS2	HAMBI-0403	Comamonas	testosteroni	667	455	0.019813144941901152
15_BS2	HAMBI-1279	Hafnia	alvei	63	118	0.005146614197178803
15_BS2	HAMBI-1287	Citrobacter	koseri	5679	5463	0.23787160207639718
15_BS2	HAMBI-1292	Morganella	morganii	60	207	0.00901985380636853
15_BS2	HAMBI-1299	Kluyvera	intermedia	29	64	0.00277771664224979
15_BS2	HAMBI-1842	Sphingobium	yanoikuyae	803	977	0.04255402042433938
15_BS2	HAMBI-1896	Sphingobacterium	spiritivorum	2159	2794	0.12166914177557184
15_BS2	HAMBI-1972	Aeromonas	caviae	4882	717	0.031228119329831782
15_BS2	HAMBI-1977	Pseudomonas	chlororaphis	5066	7930	0.3453232187191044
15_BS2	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS2	HAMBI-2159	Paraburkholderia	caryophylli	8	112	0.004883096891577901
15_BS2	HAMBI-2160	Bordetella	avium	63	439	0.019094445307694018
15_BS2	HAMBI-2164	Cupriavidus	necator	10	93	0.004037402377517383
15_BS2	HAMBI-2443	Paracoccus	denitrificans	21	251	0.010925532105336802
15_BS2	HAMBI-2494	Paraburkholderia	kururiensis	17	150	0.006517417479931253
15_BS2	HAMBI-2659	Stenotrophomonas	maltophilia	354	286	0.012432542279796096
15_BS2	HAMBI-2792	Moraxella	canis	0	0	0
15_BS2	HAMBI-3031	Niabella	yanshanensis	66	148	0.006430711087236739
15_BS2	HAMBI-3237	Microvirga	lotononidis	9	14	6.059023211890203e-4
15_BS3	HAMBI-0006	Pseudomonas	putida	1404	85	0.0036573988436993817
15_BS3	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS3	HAMBI-0105	Agrobacterium	tumefaciens	925	1992	0.08548677734615481
15_BS3	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS3	HAMBI-0403	Comamonas	testosteroni	612	400	0.01718129202555937
15_BS3	HAMBI-1279	Hafnia	alvei	80	144	0.006176577084929398
15_BS3	HAMBI-1287	Citrobacter	koseri	7482	6902	0.2961864915689347
15_BS3	HAMBI-1292	Morganella	morganii	141	467	0.020032916253108057
15_BS3	HAMBI-1299	Kluyvera	intermedia	39	82	0.0035304605632394135
15_BS3	HAMBI-1842	Sphingobium	yanoikuyae	1271	1483	0.0636571832325603
15_BS3	HAMBI-1896	Sphingobacterium	spiritivorum	2683	3330	0.14289771676313504
15_BS3	HAMBI-1972	Aeromonas	caviae	3784	533	0.022875784546282987
15_BS3	HAMBI-1977	Pseudomonas	chlororaphis	4349	6529	0.28017334623305434
15_BS3	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS3	HAMBI-2159	Paraburkholderia	caryophylli	1	13	5.768755990996406e-4
15_BS3	HAMBI-2160	Bordetella	avium	75	501	0.021483477198269665
15_BS3	HAMBI-2164	Cupriavidus	necator	15	133	0.005723610979795356
15_BS3	HAMBI-2443	Paracoccus	denitrificans	8	92	0.003933599177463618
15_BS3	HAMBI-2494	Paraburkholderia	kururiensis	16	135	0.005797268524584299
15_BS3	HAMBI-2659	Stenotrophomonas	maltophilia	301	233	0.0099907937397051
15_BS3	HAMBI-2792	Moraxella	canis	0	0	0
15_BS3	HAMBI-3031	Niabella	yanshanensis	110	236	0.010129419624350055
15_BS3	HAMBI-3237	Microvirga	lotononidis	8	12	5.090106960745501e-4
15_BS4	HAMBI-0006	Pseudomonas	putida	1601	103	0.0037415450156648928
15_BS4	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS4	HAMBI-0105	Agrobacterium	tumefaciens	1107	2533	0.09178236855014887
15_BS4	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS4	HAMBI-0403	Comamonas	testosteroni	777	540	0.019569505131595964
15_BS4	HAMBI-1279	Hafnia	alvei	105	201	0.007272799339132309
15_BS4	HAMBI-1287	Citrobacter	koseri	9992	9792	0.35485783309582614
15_BS4	HAMBI-1292	Morganella	morganii	107	376	0.013638395105785388
15_BS4	HAMBI-1299	Kluyvera	intermedia	29	65	0.0023551533088831504
15_BS4	HAMBI-1842	Sphingobium	yanoikuyae	1445	1792	0.06492682135543533
15_BS4	HAMBI-1896	Sphingobacterium	spiritivorum	2849	3756	0.13612926308814313
15_BS4	HAMBI-1972	Aeromonas	caviae	5197	778	0.028185906956616706
15_BS4	HAMBI-1977	Pseudomonas	chlororaphis	3736	5958	0.2159228999415711
15_BS4	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS4	HAMBI-2159	Paraburkholderia	caryophylli	1	14	5.175312713179603e-4
15_BS4	HAMBI-2160	Bordetella	avium	97	688	0.0249269689931551
15_BS4	HAMBI-2164	Cupriavidus	necator	14	132	0.004792491067556037
15_BS4	HAMBI-2443	Paracoccus	denitrificans	12	146	0.005293413137109662
15_BS4	HAMBI-2494	Paraburkholderia	kururiensis	24	215	0.007801338159515795
